rand,r2,MAE,less20RE_per,Average_RE,total_valid
385,0.4421,1.4063,0.6142,0.2075,928
386,0.4775,1.3729,0.6516,0.2083,1059
387,0.518,1.3586,0.5968,0.2226,821
388,0.5049,1.3392,0.6633,0.1986,983
389,0.4764,1.3978,0.6094,0.2332,914
390,0.4436,1.4452,0.6312,0.2238,1033
391,0.4945,1.405,0.626,0.2242,885
392,0.4775,1.3977,0.6328,0.212,994
393,0.5194,1.3598,0.6493,0.2167,881
394,0.4792,1.4538,0.6132,0.2378,998
395,0.5341,1.3988,0.6055,0.2576,910
396,0.4322,1.2454,0.6982,0.1783,941
397,0.4388,1.3098,0.6667,0.1993,972
398,0.4395,1.4342,0.6221,0.2333,995
399,0.447,1.3551,0.6442,0.2232,936
400,0.4227,1.35,0.6577,0.2023,964
401,0.5504,1.3885,0.617,0.2348,893
402,0.4999,1.3477,0.6376,0.2179,883
403,0.437,1.4621,0.6024,0.2322,898
404,0.4776,1.4031,0.6212,0.2256,924
405,0.4559,1.42,0.6341,0.2154,1003
406,0.4612,1.3692,0.6391,0.208,1017
407,0.4317,1.4443,0.6317,0.2182,1048
408,0.4837,1.4219,0.6167,0.2226,968
409,0.4835,1.4336,0.6396,0.2358,910
410,0.4397,1.5064,0.5977,0.2187,1054
411,0.4567,1.4122,0.6334,0.2085,993
412,0.4304,1.4481,0.6239,0.2155,1029
413,0.4748,1.3819,0.6408,0.2366,941
414,0.4843,1.3507,0.6197,0.2192,894
415,0.4808,1.3889,0.6222,0.2241,929
416,0.438,1.2982,0.6782,0.1978,951
417,0.4505,1.3259,0.6539,0.1977,942
418,0.4774,1.4435,0.6187,0.2227,986
419,0.4597,1.3503,0.6489,0.2105,974
420,0.5213,1.3533,0.633,0.2342,801
421,0.4681,1.3036,0.6635,0.1863,948
422,0.4523,1.3547,0.6354,0.2024,1001
423,0.3766,1.3799,0.644,0.1997,1045
424,0.5038,1.3951,0.6424,0.216,962
425,0.4245,1.4501,0.6136,0.2127,986
426,0.3573,1.3992,0.6461,0.1937,1037
427,0.4988,1.4411,0.5876,0.2368,953
428,0.4964,1.37,0.6177,0.2147,973
429,0.4348,1.3457,0.6405,0.2113,918
430,0.4437,1.3656,0.6286,0.2101,1007
431,0.4316,1.4102,0.6397,0.1985,1074
432,0.4344,1.4782,0.6133,0.2241,975
433,0.5197,1.3369,0.6345,0.2327,933
434,0.5071,1.3173,0.6688,0.2183,933
435,0.4257,1.3804,0.66,0.2179,947
436,0.4593,1.3868,0.6185,0.2012,975
437,0.4565,1.3443,0.628,0.2196,949
438,0.526,1.3474,0.6528,0.2285,936
439,0.4906,1.3441,0.6631,0.2047,944
440,0.4938,1.3073,0.6667,0.1996,948
441,0.4545,1.372,0.6349,0.2149,1008
442,0.4704,1.2948,0.6482,0.197,901
443,0.5134,1.3692,0.6322,0.2175,881
444,0.4953,1.3406,0.6531,0.2061,1032
445,0.4514,1.4241,0.6454,0.2059,1021
446,0.3711,1.3692,0.6579,0.1978,994
447,0.4642,1.3481,0.6586,0.2132,993
448,0.4062,1.3805,0.6595,0.2088,1022
449,0.5049,1.4858,0.6086,0.231,1027
450,0.5062,1.2767,0.6569,0.1915,953
